 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3000_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3000_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1546 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  63 4.90E+00 5.91E+03 7.19E+14 3.10E+02 5.37E+00   14   0  4.12E-05 7.00E+00 1.61E+00
  64 5.22E+00 5.73E+03 7.31E+14 3.15E+02 5.45E+00   14   0  4.36E-05 6.93E+00 1.61E+00
  65 5.56E+00 5.51E+03 7.45E+14 3.21E+02 5.56E+00   14   0  4.66E-05 6.88E+00 1.60E+00
  66 5.92E+00 5.33E+03 7.58E+14 3.26E+02 5.65E+00   14   0  4.95E-05 6.82E+00 1.59E+00
  67 6.30E+00 5.15E+03 7.70E+14 3.32E+02 5.75E+00   14   0  5.25E-05 6.75E+00 1.59E+00
  68 6.71E+00 4.98E+03 7.84E+14 3.38E+02 5.85E+00   14   0  5.57E-05 6.68E+00 1.59E+00
  69 7.14E+00 4.81E+03 7.98E+14 3.44E+02 5.95E+00   14   0  5.91E-05 6.62E+00 1.59E+00
  70 7.61E+00 4.64E+03 8.12E+14 3.50E+02 6.06E+00   14   0  6.28E-05 6.55E+00 1.58E+00
  71 8.10E+00 4.47E+03 8.27E+14 3.56E+02 6.17E+00   14   0  6.67E-05 6.49E+00 1.58E+00
  72 8.62E+00 4.30E+03 8.43E+14 3.63E+02 6.29E+00   13   0  7.09E-05 6.42E+00 1.58E+00
  73 9.18E+00 4.19E+03 8.54E+14 3.68E+02 6.37E+00   13   0  7.43E-05 6.37E+00 1.58E+00
  74 9.78E+00 4.03E+03 8.71E+14 3.75E+02 6.50E+00   13   0  7.91E-05 6.29E+00 1.57E+00
  75 1.04E+01 3.87E+03 8.89E+14 3.83E+02 6.63E+00   13   0  8.42E-05 6.22E+00 1.57E+00
  76 1.11E+01 3.72E+03 9.07E+14 3.91E+02 6.77E+00   13   1  8.97E-05 6.15E+00 1.57E+00
  77 1.18E+01 3.56E+03 9.26E+14 3.99E+02 6.91E+00   13   1  9.57E-05 6.08E+00 1.57E+00
  78 1.26E+01 3.38E+03 9.51E+14 4.10E+02 7.09E+00   13   0  1.03E-04 6.02E+00 1.56E+00
  79 1.34E+01 3.24E+03 9.72E+14 4.19E+02 7.25E+00   13   0  1.10E-04 5.95E+00 1.56E+00
  80 1.42E+01 3.08E+03 9.96E+14 4.29E+02 7.43E+00   12   0  1.18E-04 5.94E+00 1.56E+00
  81 1.52E+01 2.94E+03 1.02E+15 4.39E+02 7.60E+00   12   0  1.26E-04 5.86E+00 1.56E+00
  82 1.62E+01 2.81E+03 1.04E+15 4.49E+02 7.78E+00   12   0  1.35E-04 5.78E+00 1.55E+00
  83 1.72E+01 2.68E+03 1.07E+15 4.60E+02 7.96E+00   12   1  1.44E-04 5.71E+00 1.55E+00
  84 1.83E+01 2.56E+03 1.09E+15 4.71E+02 8.16E+00   12   1  1.54E-04 5.63E+00 1.55E+00
  85 1.95E+01 2.44E+03 1.12E+15 4.82E+02 8.35E+00   12   1  1.65E-04 5.55E+00 1.55E+00
  86 2.08E+01 2.32E+03 1.15E+15 4.94E+02 8.56E+00   12   1  1.76E-04 5.47E+00 1.55E+00
  87 2.21E+01 2.21E+03 1.18E+15 5.07E+02 8.78E+00   11   1  1.89E-04 5.38E+00 1.55E+00
  88 2.35E+01 2.10E+03 1.21E+15 5.20E+02 9.00E+00   11   1  2.02E-04 5.30E+00 1.55E+00
  89 2.51E+01 2.03E+03 1.23E+15 5.29E+02 9.17E+00   11   2  2.13E-04 5.21E+00 1.55E+00
  90 2.67E+01 1.92E+03 1.26E+15 5.43E+02 9.41E+00   11   2  2.28E-04 5.12E+00 1.54E+00
  91 2.84E+01 1.83E+03 1.29E+15 5.58E+02 9.66E+00   11   2  2.45E-04 5.04E+00 1.54E+00
  92 3.03E+01 1.73E+03 1.33E+15 5.73E+02 9.92E+00   11   2  2.63E-04 4.95E+00 1.54E+00
  93 3.22E+01 1.64E+03 1.37E+15 5.88E+02 1.02E+01   10   2  2.82E-04 4.86E+00 1.54E+00
  94 3.43E+01 1.55E+03 1.40E+15 6.05E+02 1.05E+01   10   2  3.03E-04 4.78E+00 1.54E+00
  95 3.65E+01 1.47E+03 1.44E+15 6.21E+02 1.08E+01   10   2  3.25E-04 4.69E+00 1.54E+00
  96 3.89E+01 1.39E+03 1.48E+15 6.39E+02 1.11E+01   10   2  3.49E-04 4.60E+00 1.53E+00
  97 4.14E+01 1.32E+03 1.52E+15 6.57E+02 1.14E+01   10   2  3.76E-04 4.52E+00 1.53E+00
  98 4.41E+01 1.24E+03 1.57E+15 6.75E+02 1.17E+01   10   2  4.04E-04 4.43E+00 1.53E+00
  99 4.70E+01 1.18E+03 1.61E+15 6.95E+02 1.20E+01    9   2 4.34E-04 4.35E+00 1.53E+00
 100 5.00E+01 1.11E+03 1.66E+15 7.15E+02 1.24E+01    9   3 4.67E-04 4.27E+00 1.52E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
